"url","city","price","year","manufacturer","make","condition","cylinders","fuel","odometer","title_status","transmission","vin","drive","size","type","paint_color","image_url","lat","long","county_fips","county_name","state_fips","state_code","state_name","weather"
"https://whistler.craigslist.ca/ctd/d/2014-honda-odyssey-touring-fwd/6718643787.html","whistler","31897","2014","honda","odyssey touring","like new","6 cylinders","gas","63324","clean","automatic",,"fwd",,"mini-van","white","https://images.craigslist.org/00606_k03PS1YZA3U_600x450.jpg","49.234133","-122.861002",,,,,"FAILED",
"https://whistler.craigslist.ca/ctd/d/2013-hyundai-elantra-gt-hatch/6718642082.html","whistler","11423","2013","hyundai","elantra gt","like new","4 cylinders","gas","130924","clean","automatic",,"fwd",,"hatchback","green","https://images.craigslist.org/01313_7S6L1Yguvn6_600x450.jpg","49.234133","-122.861002",,,,,"FAILED",
"https://whistler.craigslist.ca/ctd/d/2013-acura-rdx-technology-awd/6718642081.html","whistler","23411","2013","acura","rdx technology","like new","6 cylinders","gas","110704","clean","automatic",,"4wd",,"SUV","grey","https://images.craigslist.org/01111_2TlHLalbosT_600x450.jpg","49.234133","-122.861002",,,,,"FAILED",
"https://whistler.craigslist.ca/ctd/d/2012-volkswagen-touareg/6718642076.html","whistler","24896","2012","volkswagen","touareg","like new","6 cylinders","gas","94056","clean","automatic",,"4wd",,"SUV","black","https://images.craigslist.org/00L0L_frll4F2DbQg_600x450.jpg","49.234133","-122.861002",,,,,"FAILED",
"https://whistler.craigslist.ca/ctd/d/2012-acura-mdx-technology-awd/6718642065.html","whistler","24577","2012","acura","mdx technology","like new","6 cylinders","gas","105030","clean","automatic",,"4wd",,"SUV","grey","https://images.craigslist.org/01313_7S6L1Yguvn6_600x450.jpg","49.234133","-122.861002",,,,,"FAILED",
"https://whistler.craigslist.ca/ctd/d/2011-honda-odyssey-exl-res-fwd/6718642066.html","whistler","19879","2011","honda","odyssey","like new","6 cylinders","gas","123780","clean","automatic",,"fwd",,"mini-van","grey","https://images.craigslist.org/00k0k_dY70bm4hMGV_600x450.jpg","49.234133","-122.861002",,,,,"FAILED",
"https://whistler.craigslist.ca/ctd/d/2012-mazda-3-sport-gx/6715330209.html","whistler","11995","2012",,"model","excellent","4 cylinders","gas",,"clean","automatic",,"fwd",,"hatchback","blue","https://images.craigslist.org/00n0n_3DoLZeMmKsB_600x450.jpg","44.426157","-64.618626",,,,,"FAILED",
"https://whistler.craigslist.ca/ctd/d/2017-chrysler-300-touring/6715324730.html","whistler","24988","2017",,"model","like new","6 cylinders","gas",,"clean","automatic",,"rwd",,,"blue","https://images.craigslist.org/00202_b0qmo8ODocg_600x450.jpg","44.426157","-64.618626",,,,,"FAILED",
"https://whistler.craigslist.ca/ctd/d/2012-hyundai-santa-fe-gls-awd/6715305298.html","whistler","13988","2012",,"model","excellent",,"gas",,"clean","automatic",,,,,"blue","https://images.craigslist.org/00j0j_gilBaPaBXKT_600x450.jpg","44.426157","-64.618626",,,,,"FAILED",
"https://whistler.craigslist.ca/ctd/d/2008-hyundai-sonata-gl-v6/6699876770.html","whistler","5988","2008",,"model","excellent",,"gas",,"clean","automatic",,,,,"silver","https://images.craigslist.org/01616_dN50nGYYzOA_600x450.jpg","44.426157","-64.618626",,,,,"FAILED",
"https://whistler.craigslist.ca/ctd/d/2017-dodge-charger-sxt-plus/6708603443.html","whistler","26995","2017",,"model","like new","6 cylinders","gas",,"clean","automatic",,"rwd",,,"grey","https://images.craigslist.org/00R0R_aEeEUfOshdE_600x450.jpg","44.426157","-64.618626",,,,,"FAILED",
"https://whistler.craigslist.ca/ctd/d/2014-chevy-silverado-high/6708609152.html","whistler","39995","2014",,"model","excellent","8 cylinders","gas",,"clean","automatic",,"4wd",,,"grey","https://images.craigslist.org/00B0B_5MhlN9cHk4b_600x450.jpg","44.426157","-64.618626",,,,,"FAILED",
