,Unnamed: 0,price,year,odometer,lat,long,labels
223552,894208,11995,2011.0,44956.0,42.59142,-83.031,0
170074,680296,7300,2013.0,107823.0,33.6437,-117.6868,0
190711,762844,11999,2011.0,90100.0,41.9296,-71.3009,0
429522,1718088,39982,2017.0,6382.0,35.0019,-78.9364,0
427544,1710176,3499,2001.0,209038.0,36.144,-80.2376,0
388427,1553708,22387,2017.0,46340.0,42.163978,-92.036483,0
285678,1142712,12999,2016.0,116166.0,29.914652,-81.324287,0
147647,590588,11000,1990.0,199000.0,45.37,-122.755,0
278896,1115584,6900,2014.0,107000.0,26.140043,-80.23881,0
221743,886972,3200,2009.0,80000.0,43.4047,-83.9156,0
154184,616736,2700,2002.0,180000.0,34.418524,-119.700502,0
231433,925732,49900,2014.0,13500.0,42.723787,-83.182039,0
419736,1678944,9993,2007.0,156908.0,35.116502000000004,-80.882165,0
250215,1000860,4850,1992.0,175550.0,34.671462,-82.513676,0
54996,219984,8900,2012.0,99000.0,32.5286,-92.1061,0
322533,1290132,1200,1999.0,200000.0,29.552777000000006,-98.469515,0
231578,926312,1500,1991.0,127000.0,42.7531,-84.3989,0
422688,1690752,3500,2008.0,134039.0,35.58,-78.7908,0
83293,333172,27900,2011.0,622000.0,27.7353,-82.6663,0
271461,1085844,37800,2018.0,4182.0,35.99,-86.78,0
240348,961392,19777,2013.0,104859.0,44.740067,-94.714901,0
12570,50280,15500,2017.0,41925.0,49.266498,-122.998938,0
7220,28880,1000,1999.0,180000.0,39.95333400000001,-76.505184,0
253368,1013472,2700,2007.0,143000.0,39.5929,-75.6515,0
245862,983448,5777,2002.0,158326.0,44.740067,-94.714901,0
413702,1654808,5900,2011.0,0.0,44.227258,-88.467902,0
303478,1213912,6995,1996.0,130035.0,46.870626,-114.018477,0
133914,535656,2500,2001.0,143000.0,34.8835,-92.3908,0
145816,583264,26388,2012.0,106327.0,45.385979,-122.608301,0
145937,583748,2000,1995.0,181500.0,44.2767,-121.1896,0
163625,654500,2950,2003.0,81.0,34.1005,-118.3254,0
89211,356844,1500,1991.0,145000.0,40.0731,-77.6398,0
323320,1293280,700,2006.0,131257.0,31.121715,-97.891359,0
342335,1369340,20995,2011.0,115510.0,43.63399999999999,-116.3419,0
291744,1166976,7000,2010.0,129856.0,27.2945,-81.3649,0
343821,1375284,24997,2016.0,29887.0,43.618566,-116.29064,0
42152,168608,22950,2015.0,29643.0,39.3015,-94.9339,0
428577,1714308,17400,2003.0,193941.0,36.433985,-78.894237,0
90172,360688,2995,2001.0,150000.0,48.7974,-122.4448,0
127777,511108,3500,2008.0,96888.0,35.5136,-97.5319,0
42719,170876,23900,2012.0,91091.0,31.904892,-85.89686400000002,0
173271,693084,20000,2012.0,113000.0,35.40096,-119.467049,0
321010,1284040,5400,2001.0,132000.0,29.7409,-95.3923,0
40872,163488,12995,2013.0,131787.0,49.109231,-122.680941,0
265274,1061096,6500,2012.0,227000.0,38.8518,-91.9605,0
212002,848008,7200,2009.0,169000.0,39.7368,-104.8646,0
351707,1406828,20995,2014.0,140006.0,38.47238,-77.44845,0
260304,1041216,2200,2000.0,113700.0,38.680711,-90.475897,0
161841,647364,34981,2016.0,9894.0,33.8766,-117.9551,0
420773,1683092,203,2010.0,48663.0,35.6884,-81.3612,0
58246,232984,13995,2018.0,5320.0,31.014858,-87.259233,0
367936,1471744,24999,2016.0,6401.0,46.234838,-119.128015,0
282784,1131136,1000,1996.0,159.0,27.868698,-82.832321,0
104231,416924,15999,2009.0,80053.0,61.215854,-149.870998,0
88567,354268,10694,2008.0,146000.0,45.882761,-108.505818,0
253601,1014404,2950,2004.0,130000.0,39.3819,-75.6834,0
275524,1102096,6500,2000.0,198000.0,24.68,-81.362,0
62792,251168,7000,2011.0,74779.0,40.58853,-81.09298000000003,0
153031,612124,17745,2013.0,130141.0,38.743329,-121.290192,0
313040,1252160,3999,2011.0,112000.0,26.252662,-98.186503,0
186777,747108,6995,2005.0,172560.0,34.397172,-118.912797,0
286876,1147504,6700,2009.0,75667.0,29.652993,-81.663399,0
217583,870332,10995,2010.0,167444.0,43.186723,-84.163862,0
1969,7876,9790,2013.0,122763.0,46.206891,-116.89628799999998,0
52443,209772,11588,2011.0,81853.0,30.002045000000006,-90.137921,0
24685,98740,2200,2002.0,160889.0,37.22479000000001,-80.496571,0
203354,813416,9999,2005.0,148000.0,40.1809,-75.2156,0
408106,1632424,12960,2008.0,141762.0,44.523511,-89.564599,0
417471,1669884,5995,1999.0,153000.0,39.231594,-95.534103,0
100346,401384,20995,2013.0,109600.0,30.673866,-88.250556,0
167735,670940,9995,2009.0,96938.0,38.6239,-121.3837,0
